project_id,name,category,recommended_target,absorption_mode,status,risk_policy,note
osp_0001,sst/opencode,AI Agent / Coding,B线/Cognitive-OS,参考/候选Adapter,candidate,standard_review,"终端编码Agent与开发流程参考"
osp_0002,All-Hands-AI/OpenHands,AI Agent / Coding,Cognitive-OS,只参考/后置,candidate,must_review_before_use,"执行沙箱、软件工程Agent参考"
osp_0003,cline/cline,AI Coding Assistant,Obsidian-Assistance/Cognitive-OS,参考,candidate,standard_review,"IDE Agent交互与工具权限参考"
osp_0004,Aider-AI/aider,AI Coding / Git,Cognitive-OS,Adapter/参考,candidate,standard_review,"Git diff、patch、commit工作流参考"
osp_0005,continuedev/continue,AI Coding Assistant,Cognitive-OS,参考,candidate,standard_review,"IDE侧上下文与模型接入参考"
osp_0006,TabbyML/tabby,Local Code AI,B线,参考,candidate,standard_review,"本地代码补全服务参考"
osp_0007,QwenLM/qwen-code,AI Coding,B线,候选,candidate,standard_review,"国产模型编码工具链参考"
osp_0008,RooCodeInc/Roo-Code,AI Coding Agent,Cognitive-OS,参考,candidate,standard_review,"多工具Agent流程参考"
osp_0009,stackblitz-labs/bolt.diy,AI App Builder,Cognitive-OS,参考,candidate,standard_review,"应用生成与沙箱体验参考"
osp_0010,google-gemini/gemini-cli,CLI Agent,Cognitive-OS,参考,candidate,standard_review,"CLI Agent交互参考"
osp_0011,openai/openai-agents-python,Agent SDK,Cognitive-OS,候选Adapter,candidate,standard_review,"Agent运行抽象参考"
osp_0012,pydantic/pydantic-ai,Agent SDK,Cognitive-OS,候选Adapter,candidate,standard_review,"Pydantic类型化Agent参考"
osp_0013,microsoft/autogen,Multi-Agent,Cognitive-OS,后置参考,candidate,must_review_before_use,"多Agent编排参考"
osp_0014,crewAIInc/crewAI,Multi-Agent,Cognitive-OS,后置参考,candidate,must_review_before_use,"角色型Agent编排参考"
osp_0015,microsoft/semantic-kernel,Agent/Orchestration,B线,参考,candidate,standard_review,"技能/语义函数/规划参考"
osp_0016,langchain-ai/langchain,LLM Framework,B线,参考,candidate,standard_review,"RAG/工具抽象参考，不接管核心"
osp_0017,langchain-ai/langgraph,Agent State Machine,Cognitive-OS,后置Adapter,candidate,must_review_before_use,"状态机Agent编排"
osp_0018,vercel/ai,AI Frontend SDK,未来Web UI,参考,candidate,standard_review,"Web UI AI交互参考"
osp_0019,BerriAI/litellm,LLM Gateway,Cognitive-OS,Adapter,candidate,standard_review,"多模型统一网关"
osp_0020,langgenius/dify,RAG / AI App Platform,IR/KB,只参考,candidate,standard_review,"工作流与知识库产品参考"
osp_0021,open-webui/open-webui,LLM UI,未来Web UI,参考,candidate,standard_review,"模型前台和插件体验参考"
osp_0022,Mintplex-Labs/anything-llm,RAG / Knowledge Base,KB,参考,candidate,standard_review,"本地知识库/RAG产品参考"
osp_0023,infiniflow/ragflow,RAG / Document Intelligence,KB,参考,candidate,standard_review,"文档RAG流程参考"
osp_0024,lobehub/lobe-chat,LLM UI,未来Web UI,参考,candidate,standard_review,"多模型聊天UI参考"
osp_0025,FastGPT,RAG / Workflow,IR/KB,参考,candidate,standard_review,"知识库工作流参考"
osp_0026,Khoj,Personal AI / Search,KB,参考,candidate,standard_review,"个人知识搜索参考"
osp_0027,QuivrHQ/quivr,Second Brain / RAG,KB,参考,candidate,standard_review,"知识库产品参考"
osp_0028,zylon-ai/private-gpt,Private RAG,KB,参考,candidate,standard_review,"私有RAG参考"
osp_0029,assafelovic/gpt-researcher,Research Agent,IR,候选Adapter,candidate,standard_review,"调研Agent参考"
osp_0030,scrapling,Crawler / Extraction,IR,Adapter候选,candidate,standard_review,"网页结构抽取"
osp_0031,unclecode/crawl4ai,Crawler / LLM-ready Markdown,IR,Adapter,candidate,standard_review,"网页转LLM-ready Markdown"
osp_0032,mendableai/firecrawl,Crawler / API,IR,后置Adapter,candidate,must_review_before_use,"网页抓取与清洗"
osp_0033,browser-use/browser-use,Browser Agent,IR/Cognitive-OS,谨慎后置,candidate,must_review_before_use,"浏览器Agent参考"
osp_0034,browserbase/stagehand,Browser Automation,IR/Cognitive-OS,谨慎后置,candidate,must_review_before_use,"浏览器自动化参考"
osp_0035,microsoft/playwright,Browser Automation,IR,工具候选,candidate,standard_review,"受控网页采集/测试"
osp_0036,apify/crawlee,Crawler Framework,IR,参考/Adapter,candidate,standard_review,"爬虫框架"
osp_0037,trafilatura,Web Text Extraction,IR,Adapter,candidate,standard_review,"网页正文抽取"
osp_0038,newspaper4k,Article Extraction,IR,Adapter候选,candidate,standard_review,"文章抽取"
osp_0039,microsoft/markitdown,Document to Markdown,IR/KB,Adapter,candidate,standard_review,"多格式转Markdown"
osp_0040,docling-project/docling,Document Parsing,IR/KB,Adapter,candidate,standard_review,"高质量文档/PDF解析"
osp_0041,Unstructured-IO/unstructured,Document Parsing,IR/KB,Adapter候选,candidate,standard_review,"非结构化文档解析"
osp_0042,opendatalab/MinerU,PDF Parsing,IR/KB,Adapter候选,candidate,standard_review,"PDF深度解析"
osp_0043,VikParuchuri/marker,PDF to Markdown,IR/KB,Adapter候选,candidate,standard_review,"PDF转Markdown"
osp_0044,pymupdf/RAG/pymupdf4llm,PDF to LLM,IR/KB,Adapter候选,candidate,standard_review,"PDF转LLM文本"
osp_0045,apache/tika,Document Parsing,IR/KB,后置Adapter,candidate,must_review_before_use,"文档解析服务"
osp_0046,mem0ai/mem0,Memory,KB/Cognitive-OS,后置Adapter,candidate,must_review_before_use,"长期记忆参考"
osp_0047,getzep/graphiti,Temporal Knowledge Graph,KB,后置Adapter,candidate,must_review_before_use,"时序事实/图记忆"
osp_0048,langfuse/langfuse,LLM Observability,Cognitive-OS,Adapter,candidate,standard_review,"Trace/评估/调用观测"
osp_0049,promptfoo/promptfoo,LLM Evaluation,Cognitive-OS,Adapter,candidate,standard_review,"Prompt/RAG/Agent评测"
osp_0050,open-telemetry/opentelemetry,Observability,Cognitive-OS,参考/Adapter,candidate,standard_review,"通用可观测性"
osp_0051,sqlite-vec,Vector Search,KB,优先Adapter,candidate,standard_review,"SQLite本地向量检索"
osp_0052,lancedb/lancedb,Vector DB,KB,候选Adapter,candidate,standard_review,"本地向量库"
osp_0053,chroma-core/chroma,Vector DB,KB,后置Adapter,candidate,must_review_before_use,"向量检索"
osp_0054,qdrant/qdrant,Vector DB,KB,后置Adapter,candidate,must_review_before_use,"向量检索服务"
osp_0055,facebookresearch/faiss,Vector Search,KB,后置/参考,candidate,must_review_before_use,"向量索引"
osp_0056,kuzudb/kuzu,Graph DB,KB,候选Adapter,candidate,standard_review,"本地图数据库"
osp_0057,networkx/networkx,Graph,KB,直接可用,candidate,standard_review,"轻量知识图谱计算"
osp_0058,neo4j/neo4j,Graph DB,KB,后置参考,candidate,must_review_before_use,"重型图数据库"
osp_0059,Obsidian plugin ecosystem,PKM / Plugins,A线,插件筛选,candidate,standard_review,"Dataview/Tasks/Templater等"
osp_0060,logseq/logseq,PKM,未来前台,替代参考,candidate,standard_review,"块级大纲与双链"
osp_0061,siyuan-note/siyuan,PKM,未来前台,替代参考,candidate,standard_review,"本地知识库/块编辑参考"
osp_0062,toeverything/AFFiNE,PKM / Workspace,未来前台,参考,candidate,standard_review,"白板/文档工作台参考"
osp_0063,laurent22/joplin,Notes,未来前台,参考,candidate,standard_review,"开源笔记参考"
osp_0064,zotero/zotero,Reference Manager,IR/KB,Adapter候选,candidate,standard_review,"文献管理"
osp_0065,Ghidra,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"逆向分析"
