id,domain,project,source,url,capability,axos_module,absorption,priority,fit,local,complexity,maturity,license,license_risk,decision,poc,notes
P001,文档摄取,Docling,GitHub,https://github.com/docling-project/docling,多格式文档解析、版面/表格/公式/阅读顺序、统一中间表示,Knowledge Ingestion / ParserProvider,默认主解析Provider候选,A1,5,5,3,4,MIT,低,首批验证,PDF/DOCX/PPTX/XLSX各3份，输出DocumentParseV1并保留证据坐标,数字原生文档主解析器；扫描件走OCR
P002,文档摄取,PaddleOCR-VL / PaddleOCR,GitHub + Hugging Face,https://huggingface.co/PaddlePaddle/PaddleOCR-VL-1.6,中文复杂扫描件、表格、公式、图表、印章和多语言版面理解,OCRProvider / Document Evidence,中文复杂文档主OCR Provider,A1,5,5,4,4,Apache-2.0（需按模型卡复核）,低-中,首批验证,教材、招标PDF、横竖混排、表格、公式、印章各2份,3060 Ti串行装卸模型
P003,文档摄取,GLM-OCR,Hugging Face,https://huggingface.co/zai-org/GLM-OCR,轻量中文OCR、表格/公式/结构化提取、第二意见复核,OCRProvider / Parse Arbitration,备份OCR和低置信度仲裁,A2,4,5,3,3,MIT（需按模型卡复核）,低-中,第二批验证,对PaddleOCR-VL低置信度页面做差异仲裁,OCR结果不能直接晋升正式知识
P004,网页摄取,Crawl4AI,GitHub,https://github.com/unclecode/crawl4ai,网页抓取、正文净化、Markdown、动态页面与浏览器自动化,WebCaptureProvider / Inspiration Research,隔离浏览器Worker接入,A2,4,4,4,4,Apache-2.0（需复核）,中,隔离验证,静态页、JS页、登录页、恶意提示词页；测试SSRF与白名单,浏览器不得直连主事实库
P005,代码库摄取,Repomix,GitHub,https://github.com/yamadashy/repomix,仓库打包、目录树、Token统计、Tree-sitter压缩、LLM上下文,RepositoryParserProvider / ResearchPackageV1,代码研究预处理器,A1,5,5,2,4,MIT,低,立即验证,AXOS及3个外部仓库快照；敏感文件过滤和增量差异,输出必须记录commit SHA
P006,文档摄取,MinerU,GitHub,https://github.com/opendatalab/MinerU,复杂PDF/Office到Markdown/JSON、表格/公式/图片/跨页结构,ParserProvider Benchmark,解析质量基准及可选Provider,B1,4,4,4,4,自定义开源许可（需逐条复核）,中-高,基准对照,与Docling、PaddleOCR-VL同语料盲测,不能按纯Apache处理
P007,文档摄取,Marker,GitHub,https://github.com/datalab-to/marker,PDF/Office/图片到Markdown/JSON/HTML、公式和表格,ParserProvider Benchmark,仅做精度对照,C1,3,4,4,4,GPL-3.0；模型另有条款,高,不进入核心,仅离线对照,避免复制或链接进非GPL核心
P008,文档摄取,Chandra OCR,GitHub,https://github.com/datalab-to/chandra,复杂表格、表单、手写、数学、多语言OCR,OCR Benchmark,高难文档精度基准,C1,3,3,5,3,商业自托管/模型条款需复核,高,只做基准,5份最难文档对照,不进入默认本地栈
P009,音视频摄取,faster-whisper,GitHub,https://github.com/SYSTRAN/faster-whisper,本地语音转写、CTranslate2、INT8、批处理,ASRProvider,稳定通用ASR Provider,A2,4,5,3,5,MIT,低,第二批接入,课程、会议、噪声音频和长视频；时间戳接口,Windows DLL和模型自检
P010,检索索引,LanceDB,GitHub,https://github.com/lancedb/lancedb,嵌入式向量检索、全文检索、过滤、多模态和版本化数据,Derived Retrieval Index,多模态派生索引；SQLite仍是事实源,A1,5,5,3,4,Apache-2.0,低,首批验证,10万文本块+图片向量；增量、删除、重建、混合检索,必须可从事实库全量重建
